time, Ex_field_energy, Ex_max_norm
1.3100000000000051e+01 3.2383957021623479e-02 9.2258147475736164e-03
1.3150000000000052e+01 3.7425805428622103e-02 1.0086056014827703e-02
1.3200000000000053e+01 4.2399873407952982e-02 1.0552199505258875e-02
1.3250000000000053e+01 4.7186033375717668e-02 1.0705197423849944e-02
1.3300000000000054e+01 5.1697316764016690e-02 1.1059161650232368e-02
1.3350000000000055e+01 5.5840609791194193e-02 1.1408786668370759e-02
1.3400000000000055e+01 5.9542077920729526e-02 1.1613357374781469e-02
1.3450000000000056e+01 6.2742704684324524e-02 1.1571169865068164e-02
1.3500000000000057e+01 6.5373686814261645e-02 1.1697351215939712e-02
1.3550000000000058e+01 6.7370022973254673e-02 1.1991354601798189e-02
1.3600000000000058e+01 6.8727020218671719e-02 1.2592274710241755e-02
1.3650000000000059e+01 6.9429683089770197e-02 1.2703670595104018e-02
1.3700000000000060e+01 6.9463721828984901e-02 1.2317158465041127e-02
1.3750000000000060e+01 6.8827400025092189e-02 1.1919909508879074e-02
1.3800000000000061e+01 6.7553328451211897e-02 1.2003059332532208e-02
1.3850000000000062e+01 6.5686175630875296e-02 1.2117410782180421e-02
1.3900000000000063e+01 6.3249362651387378e-02 1.1886750159817099e-02
1.3950000000000063e+01 6.0313811915775971e-02 1.1921631129715605e-02
1.4000000000000064e+01 5.6949881978427062e-02 1.1618729757045060e-02
1.4050000000000065e+01 5.3223865154287849e-02 1.1238003733753225e-02
1.4100000000000065e+01 4.9207541468581847e-02 1.1035791605544052e-02
1.4150000000000066e+01 4.4976533276818532e-02 1.0822051427980676e-02
1.4200000000000067e+01 4.0607923644813290e-02 1.0523414768045273e-02
1.4250000000000068e+01 3.6192974664299389e-02 1.0075087208098452e-02
1.4300000000000068e+01 3.1818869429726102e-02 9.7827924066554977e-03
1.4350000000000069e+01 2.7550879355946772e-02 9.3474380487227320e-03
1.4400000000000070e+01 2.3444803083636681e-02 8.6904621311624259e-03
1.4450000000000070e+01 1.9577561869008626e-02 8.2567955284069700e-03
1.4500000000000071e+01 1.6008235507944134e-02 7.7006830413109449e-03
1.4550000000000072e+01 1.2790862251008559e-02 7.4262589741576806e-03
1.4600000000000072e+01 9.9704560816288434e-03 7.2321747640865242e-03
1.4650000000000073e+01 7.5802922038598524e-03 6.9481162263072939e-03
1.4700000000000074e+01 5.6406344221918781e-03 6.4504915221550710e-03
1.4750000000000075e+01 4.1650093438342639e-03 5.6157333514973888e-03
1.4800000000000075e+01 3.1580610913530226e-03 5.4350290820471044e-03
1.4850000000000076e+01 2.6117740068982687e-03 4.9784434774429011e-03
1.4900000000000077e+01 2.5091438015241944e-03 4.7246373834750064e-03
1.4950000000000077e+01 2.8339968754954540e-03 5.0706061963928430e-03
1.5000000000000078e+01 3.5629486750408299e-03 5.7121512225515913e-03
1.5050000000000079e+01 4.6690325946703208e-03 6.0689771054354196e-03
1.5100000000000080e+01 6.1094162199637333e-03 6.2094991928390297e-03
1.5150000000000080e+01 7.8373967629643809e-03 6.3002871848097559e-03
1.5200000000000081e+01 9.8033274753576947e-03 6.7273850917806237e-03
1.5250000000000082e+01 1.1962049028394805e-02 7.2246538399818993e-03
1.5300000000000082e+01 1.4247437906264638e-02 7.5857745151670297e-03
1.5350000000000083e+01 1.6600521081980162e-02 7.7967026116071781e-03
1.5400000000000084e+01 1.8964642807051318e-02 8.1746013266050868e-03
1.5450000000000085e+01 2.1287876573421884e-02 8.7374888402934926e-03
1.5500000000000085e+01 2.3523533068354655e-02 8.8602916184694208e-03
1.5550000000000086e+01 2.5625823808037296e-02 8.8911184910442434e-03
1.5600000000000087e+01 2.7541158699259983e-02 9.2911717866752033e-03
1.5650000000000087e+01 2.9233555572934871e-02 9.4870206602437630e-03
1.5700000000000088e+01 3.0685188378352039e-02 9.5401793365467568e-03
1.5750000000000089e+01 3.1852113994763204e-02 9.5336765298699999e-03
1.5800000000000090e+01 3.2700704820203978e-02 9.4145217251688246e-03
1.5850000000000090e+01 3.3241976161777320e-02 9.4444048869864131e-03
1.5900000000000091e+01 3.3489073687135579e-02 9.4610762653008582e-03
1.5950000000000092e+01 3.3441309850600752e-02 9.4142982182884166e-03
1.6000000000000092e+01 3.3092579876159732e-02 9.0618766457971293e-03
1.6050000000000093e+01 3.2452015387616544e-02 8.8190754201093059e-03
1.6100000000000094e+01 3.1538714387996894e-02 8.7381792266136935e-03
1.6150000000000095e+01 3.0353551940671280e-02 8.7457993920311040e-03
1.6200000000000095e+01 2.8939395678256982e-02 8.7542047757754576e-03
1.6250000000000096e+01 2.7317783353020951e-02 8.7761841131615420e-03
1.6300000000000097e+01 2.5516881467377753e-02 8.7488721435627758e-03
1.6350000000000097e+01 2.3594062439332961e-02 8.5400123379196571e-03
1.6400000000000098e+01 2.1574025497210356e-02 8.0871026276746090e-03
1.6450000000000099e+01 1.9498353119407157e-02 7.8731981669554457e-03
1.6500000000000099e+01 1.7404727600968083e-02 7.6130475114994560e-03
1.6550000000000100e+01 1.5340948006814360e-02 7.4981817701008204e-03
